시도별,경제활동별,명목,실질,실질기여도
경상남도,　보건업 및 사회복지 서비스업,5828925,5375316,0.26
경상남도,　문화 및 기타서비스업,3001595,2440840,0.07
제주특별자치도,지역내총생산(시장가격),20187503,18173026,1.2
제주특별자치도,순생산물세,1651819,1403687,-0.12
제주특별자치도,총부가가치(기초가격),18535684,16773264,1.32
제주특별자치도,"농업, 임업 및 어업",2048666,1675235,0.05
제주특별자치도,광제조업,746361,727598,0.18
제주특별자치도,　광업,19504,20196,0.05
제주특별자치도,　제조업,726857,708531,0.13
제주특별자치도,　　음식료품 및 담배제조업,284868,263092,0.03
제주특별자치도,　　섬유 의복 및 가죽 제품 제조업,5001,4539,0
제주특별자치도,　　목재종이인쇄 및 복제업,55394,50130,0.01
제주특별자치도,　　석탄 및 석유 화학제품 제조업,76902,73872,0.03
제주특별자치도,　　비금속광물 및 금속제품 제조업,132626,135640,-0.02
제주특별자치도,　　전기 전자 및 정밀기기 제조업,103836,114086,0.09
제주특별자치도,　　기계 운송장비 및 기타 제품 제조업,68230,64985,0
제주특별자치도,"전기, 가스, 증기 및 공기 조절 공급업",213099,376385,0.1
제주특별자치도,건설업,1275113,1028798,-1.4
제주특별자치도,서비스업,14252445,13066189,2.39
제주특별자치도,　도매 및 소매업,1134670,1128049,0.02
제주특별자치도,　운수 및 창고업,848085,739088,0.61
제주특별자치도,　숙박 및 음식점업,1227904,1110932,0.55
제주특별자치도,　정보통신업,1101962,1012254,-0.5
제주특별자치도,　금융 및 보험업,1112684,1107481,0.23
제주특별자치도,　부동산업,1442041,1405988,0.11
제주특별자치도,　사업서비스업,1399107,1227445,0.21
제주특별자치도,"　공공 행정, 국방 및 사회보장 행정",2622587,2255238,0.18
제주특별자치도,　교육 서비스업,1350220,1219769,0.39
제주특별자치도,　보건업 및 사회복지 서비스업,1172171,1085436,0.34
제주특별자치도,　문화 및 기타서비스업,841014,735853,0.26
